Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,NormalizedNetR,PnlUsd,Confluence
SUPREME,8,"2026-07-17T11:35:00.000Z",SELL,3996.50,4001.00,3989.75,3980.75,45,SL_HIT,4001.00,"2026-07-17T11:50:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,7,"2026-07-20T23:20:00.000Z",BUY,4010.40,4007.10,4015.25,4015.25,33,SL_HIT,4007.10,"2026-07-20T23:20:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,9,"2026-07-21T15:30:00.000Z",SELL,4080.80,4083.70,4076.45,4070.65,29,SL_HIT,4083.70,"2026-07-21T15:35:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,8,"2026-07-24T00:25:00.000Z",BUY,4049.10,4045.80,4050.30,4050.30,33,TP_EQUILIBRIUM,4050.30,"2026-07-24T00:35:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,9,"2026-07-24T00:50:00.000Z",SELL,4051.50,4055.00,4048.50,4048.50,35,TP_EQUILIBRIUM,4048.50,"2026-07-24T01:00:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,10,"2026-07-24T13:15:00.000Z",BUY,4050.70,4046.40,4057.15,4065.75,43,TP1_PARTIAL_BE,4057.15,"2026-07-24T13:35:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,11,"2026-07-24T19:30:00.000Z",BUY,4054.00,4050.30,4059.55,4066.95,37,TP1_PARTIAL_BE,4059.55,"2026-07-24T19:40:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,12,"2026-07-27T23:55:00.000Z",BUY,4073.10,4070.40,4077.15,4082.55,27,SL_HIT,4070.40,"2026-07-28T00:00:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,10,"2026-07-28T05:30:00.000Z",BUY,4043.00,4039.50,4046.10,4046.10,35,SL_HIT,4039.50,"2026-07-28T05:35:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,13,"2026-07-29T11:55:00.000Z",SELL,4091.50,4095.80,4085.05,4076.45,43,TP2_FULL_TARGET,4076.45,"2026-07-29T12:20:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,14,"2026-08-03T00:45:00.000Z",SELL,4113.70,4117.40,4108.15,4100.75,37,TP1_PARTIAL_BE,4108.15,"2026-08-03T01:00:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,11,"2026-08-04T00:40:00.000Z",SELL,4113.90,4116.20,4109.80,4109.80,23,TP_EQUILIBRIUM,4109.80,"2026-08-04T00:50:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,15,"2026-08-06T12:45:00.000Z",SELL,4326.10,4330.30,4319.80,4311.40,42,TP2_FULL_TARGET,4311.40,"2026-08-06T12:50:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,16,"2026-08-11T16:20:00.000Z",SELL,4438.50,4441.90,4433.40,4426.60,34,SL_HIT,4441.90,"2026-08-11T16:25:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,17,"2026-08-12T18:55:00.000Z",SELL,4474.00,4478.10,4467.85,4459.65,41,SL_HIT,4478.10,"2026-08-12T19:05:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,18,"2026-08-13T08:40:00.000Z",SELL,4429.90,4432.70,4425.70,4420.10,28,SL_HIT,4432.70,"2026-08-13T08:45:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,19,"2026-08-13T11:50:00.000Z",BUY,4441.50,4437.80,4447.05,4454.45,37,TP1_PARTIAL_BE,4447.05,"2026-08-13T12:05:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,12,"2026-08-16T23:05:00.000Z",SELL,4437.90,4440.80,4433.25,4433.25,29,TP_EQUILIBRIUM,4433.25,"2026-08-16T23:20:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,13,"2026-08-18T00:10:00.000Z",SELL,4476.30,4478.70,4471.75,4471.75,24,SL_HIT,4478.70,"2026-08-18T00:15:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,20,"2026-08-18T10:55:00.000Z",SELL,4453.60,4456.70,4448.95,4442.75,31,TP1_PARTIAL_BE,4448.95,"2026-08-18T11:10:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,21,"2026-08-24T10:10:00.000Z",SELL,4704.20,4707.70,4698.95,4691.95,35,TP1_PARTIAL_BE,4698.95,"2026-08-24T10:45:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,22,"2026-08-25T12:10:00.000Z",BUY,4693.00,4690.70,4696.45,4701.05,23,SL_HIT,4690.70,"2026-08-25T12:15:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,23,"2026-08-27T00:15:00.000Z",SELL,4671.60,4674.20,4667.70,4662.50,26,SL_HIT,4674.20,"2026-08-27T00:20:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,25,"2026-08-27T11:50:00.000Z",SELL,4648.60,4652.60,4642.60,4634.60,40,SL_HIT,4652.60,"2026-08-27T11:55:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,24,"2026-08-27T12:00:00.000Z",SELL,4651.90,4655.00,4647.25,4641.05,31,TP1_PARTIAL_BE,4647.25,"2026-08-27T12:10:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,26,"2026-08-28T00:25:00.000Z",BUY,4646.90,4643.90,4651.40,4657.40,30,SL_HIT,4643.90,"2026-08-28T00:30:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,27,"2026-08-28T10:00:00.000Z",SELL,4658.70,4662.20,4653.45,4646.45,35,SL_HIT,4662.20,"2026-08-28T10:10:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,28,"2026-08-28T13:45:00.000Z",SELL,4657.20,4661.20,4651.20,4643.20,40,SL_HIT,4661.20,"2026-08-28T13:50:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,29,"2026-09-01T00:15:00.000Z",SELL,4504.00,4507.80,4498.30,4490.70,38,SL_HIT,4507.80,"2026-09-01T00:20:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,30,"2026-09-01T14:20:00.000Z",BUY,4420.50,4416.70,4426.20,4433.80,38,SL_HIT,4416.70,"2026-09-01T14:25:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,31,"2026-09-03T20:30:00.000Z",BUY,4519.30,4515.70,4524.70,4531.90,36,TP1_PARTIAL_BE,4524.70,"2026-09-03T22:10:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,14,"2026-09-04T01:40:00.000Z",BUY,4520.10,4517.30,4524.20,4524.20,28,SL_HIT,4517.30,"2026-09-04T01:45:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,32,"2026-09-04T09:30:00.000Z",BUY,4513.10,4509.30,4518.80,4526.40,38,TP1_PARTIAL_BE,4518.80,"2026-09-04T10:10:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,33,"2026-09-04T10:55:00.000Z",SELL,4520.80,4523.80,4516.30,4510.30,30,TP1_PARTIAL_BE,4516.30,"2026-09-04T11:05:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,34,"2026-09-08T04:10:00.000Z",SELL,4486.00,4489.70,4480.45,4473.05,37,TP2_FULL_TARGET,4473.05,"2026-09-08T05:10:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,35,"2026-09-09T12:25:00.000Z",BUY,4441.50,4438.40,4446.15,4452.35,31,SL_HIT,4438.40,"2026-09-09T12:30:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,36,"2026-09-09T17:15:00.000Z",SELL,4461.70,4465.00,4456.75,4450.15,33,SL_HIT,4465.00,"2026-09-09T17:25:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,37,"2026-09-09T19:10:00.000Z",BUY,4445.10,4441.80,4450.05,4456.65,33,TP1_PARTIAL_BE,4450.05,"2026-09-09T19:20:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,15,"2026-09-09T23:45:00.000Z",BUY,4438.50,4435.80,4443.70,4443.70,27,SL_HIT,4435.80,"2026-09-10T00:00:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
